period,stock_month_observations,unique_cusip8,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,fee_qualifying_share
2018-02,6768,6768,7.603409426713948,17.398010842752818,0.25,0.375,0.375,1.875,8.0,17.0,105.0,295.0,0.5263002364066194,26.881203046170455,7.597697999999999,99.65718,99.99879,0.9479905437352246
2018-03,6781,6781,7.260951832030674,16.33716154509916,0.1,0.20204619999999998,0.28743,1.6376000000000002,7.029351999999999,17.15889,98.42562399999994,233.4908,0.52838814334169,27.55307097934375,8.279926,99.840559,99.99867210000001,0.954578970653296
2018-04,6736,6736,7.3365782379750595,16.67173241321264,0.1,0.17610835,0.28095100000000006,1.449499,7.041396,17.865235,98.98356799999992,243.12040000000002,0.5233076009501187,26.754620409940475,7.4434605,99.702061,99.9984559,0.9483372921615202
2018-05,6813,6813,7.187779807426978,16.500514079902857,0.1,0.17165116,0.286227,1.428153,6.450865,17.18246,99.78373400000002,185.7997,0.5251724644062821,26.35650830283533,7.150002,99.66866,99.998312,0.9437839424629385
2018-06,6771,6771,7.322944328459608,16.967079585373767,0.1,0.17661759999999999,0.2837695,1.5562690000000001,6.6165875,17.42997,96.56618300000021,225.3046,0.5228178998670802,26.24795200050387,7.766137,99.544228,99.9982128,0.9515581154925418
2018-07,6874,6874,7.2514429416642425,16.89943296508841,0.1,0.1713844,0.2869335,1.6112000000000002,6.423406,17.241516999999998,94.9024872999999,222.73139999999998,0.5221123072446902,26.734502318994956,7.780116,99.737904,99.9984048,0.947628745999418
2018-08,6842,6842,7.153047294358375,17.24926325576697,0.1,0.17985557,0.28722125,1.364328,6.101028,16.461847000000038,96.20937650000008,244.9393,0.5154925460391698,26.79559384127565,7.764377,99.78641,99.99866300000001,0.9511838643671441
2018-09,6869,6869,7.464416319406027,17.89793385398121,0.1,0.1716872,0.294983,1.246654,6.4943029999999995,17.44175,97.00109599999985,248.4575,0.5080797787159703,26.813018937810504,8.256164,99.73708,99.998595,0.9529771436890377
2018-10,7093,7093,7.503863531650924,17.77070694204175,0.1,0.1759732,0.28431799999999996,1.672606,6.438806,17.75977,99.97600879999999,248.7877,0.521218102354434,28.070692824421123,9.047292,99.872998,99.9989208,0.9520654166079233
2018-11,7041,7041,7.767199980684563,19.076508082314522,0.1,0.2134704,0.289035,1.3592,6.812499,18.39197,100.47330000000001,248.7866,0.5173980968612413,27.242589301539837,8.238585,99.855879,99.9982763,0.9531316574350235
