sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,month
2019-05,3568,3568,1.729020720571749,7.3198439145491125,0.1,0.25722071,0.2789945,0.294438,0.3386125,2.995227900000005,28.36314199999994,155.7072,0.15358744394618834,14.908821337521848,6.006731,42.33117600000001,95.12659719999999,2019-05
2019-06,3540,3540,1.9735358663841809,8.759715863981492,0.162435,0.24758504,0.28019499999999997,0.296325,0.34024475,3.062166,44.04785700000027,232.142,0.1596045197740113,14.67678338524879,5.976056,41.407216000000005,94.72788560000004,2019-06
2019-07,3565,3565,2.1925484981767176,9.192278419779667,0.126124,0.26457044,0.281286,0.297576,0.357184,3.4135327999999987,45.40376600000008,222.2502,0.17223001402524543,14.32471203656708,5.9003175,41.77016800000003,87.10422569999997,2019-07
2019-08,3546,3546,2.0047855854483925,7.95255540814365,0.1,0.2057233,0.277821,0.29273699999999997,0.3364555,3.174973,44.783315000000265,128.5617,0.16300056401579244,14.566711414468989,6.477166,41.00172,88.10003099999999,2019-08
2019-09,3539,3539,1.983953612037299,7.685235036303439,0.1,0.23310306,0.2798885,0.29579900000000003,0.3473695,2.901616600000002,43.0524991999999,121.69369999999999,0.15710652726758972,14.30926521746455,5.95321,41.40639,87.244925,2019-09
2019-10,3544,3544,1.949045658577878,8.35036579183843,0.1,0.25378013,0.27890625,0.293647,0.33777599999999997,2.8600898000000017,39.23924140000037,185.8611,0.14954853273137697,14.47502217656179,6.0031145,41.624108,88.0836085,2019-10
2019-11,3509,3509,1.838812348247364,7.808954410770408,0.1,0.2350054,0.277849,0.293289,0.337374,2.600263200000003,38.75361560000009,184.7224,0.14192077514961526,14.237086410967095,6.014885,40.50582199999999,87.44948279999996,2019-11
2019-12,3498,3498,1.8317677572898798,8.376853198655917,0.1,0.23622363999999998,0.27936325,0.296709,0.33797475,2.0502908000000004,37.18950149999996,185.6488,0.1320754716981132,13.376256680341854,5.279739,38.29399,86.54106599999997,2019-12
2020-01,3520,3520,1.835942696590909,8.035174484045292,0.1,0.20604624,0.28437125,0.302346,0.34262175,2.213994,38.02595409999998,170.6418,0.1380681818181818,13.52079646099315,5.142321,39.44038400000004,88.18492669999999,2020-01
2020-02,3522,3522,1.8870464409426462,9.618521628891715,0.1,0.23200504000000002,0.27863899999999997,0.291817,0.32570575,2.013733700000001,41.458721899999965,241.60720000000003,0.13174332765474162,13.526346202799315,5.2133815,38.240064000000004,86.66872329999998,2020-02
2020-03,3513,3513,2.009324994591517,9.25043034814204,0.1,0.23463108,0.277746,0.292444,0.33585,2.031828800000002,46.54929120000028,158.60289999999998,0.15086820381440363,14.062408503678949,5.936552,39.747,85.53461,2020-03
2020-04,3344,3344,1.7969948531698565,8.59090534910228,0.1,0.1875,0.27842525,0.294363,0.33525675,1.5345326000000008,45.34325570000039,150.0308,0.13068181818181818,13.59088910126237,5.764142,37.63247,86.09171819999999,2020-04
2020-05,3423,3423,1.9489071340929012,9.17268506989169,0.1,0.19961518,0.2782825,0.294839,0.3414545,1.7310002000000013,50.187467399999996,135.7507,0.14168857727139936,13.331996127108964,5.87335,36.535615,85.25825869999997,2020-05
2020-06,3466,3466,2.67562977034045,12.059913073729476,0.1,0.1881931,0.27739875,0.2950515,0.41195575,2.92617,59.46873099999967,212.03759999999997,0.17743796884016158,13.855132796872104,6.3810970000000005,37.585465,83.79852899999997,2020-06
2020-07,3526,3526,2.539969463981849,10.917497355293825,0.1,0.21288100000000001,0.27940575,0.299196,0.43030525000000003,2.721515,59.1579275,193.76420000000002,0.1704480998298355,13.07718254425199,5.4019375,36.462465,82.44615649999994,2020-07
2020-08,3565,3565,2.5555771626928467,11.020552415543499,0.1,0.17463331999999998,0.281189,0.30291,0.42683299999999996,2.8029307999999995,54.66208760000013,248.70610000000002,0.17194950911640955,12.812815941724816,5.1846935,37.17191700000001,84.0585103,2020-08
2020-09,3578,3578,2.5720536755170484,11.136535937178106,0.1,0.20497115,0.27873225,0.2965715,0.40160275000000006,2.695704100000001,63.241455700000024,191.33169999999998,0.1660145332588038,13.041786064569665,5.202646,38.95739000000002,85.38073700000004,2020-09
