model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2020-01,CLARABEL_SOLVED,994,1.8969243912989353,1.7577366951850575,0.008788683475925287,0.0006111024543832618,2.978384090280264e-05,0.04170500426624439,0.03233500217683864,0.2500000103471776,1.5000000206943551,0.0006111024543832618
M2,2020-02,CLARABEL_SOLVED,991,1.7271667532862882,1.7488889024934253,0.008744444512467127,0.0018087203026301538,5.5615504166912146e-05,-0.050064050879036606,-0.06056160018996698,0.2500000067741535,1.500000013548307,0.0018087203026301538
M2,2020-03,CLARABEL_SOLVED,996,1.7668727382931884,2.016466265924343,0.010082331329621715,0.0021419393438556885,4.90520633199551e-05,-0.14181600505019104,-0.15399122366034848,0.2500000220189027,1.5000000440378054,0.0021419393438556885
M2,2020-04,CLARABEL_SOLVED,993,1.8192410992461518,1.6608623210902353,0.008304311605451177,0.0011159122546458584,2.632808505793255e-05,0.3966292703373448,0.38723537456230567,0.2500000013869017,1.5000000027738019,0.0011159122546458584
M2,2020-05,CLARABEL_SOLVED,991,1.9629329999904708,2.4405076595558457,0.012202538297779229,0.001126626882967081,4.196748572058061e-05,0.05766052572815589,0.044373328033130155,0.25000000467971134,1.5000000093594208,0.001126626882967081
M2,2020-06,CLARABEL_SOLVED,992,1.8472273993219386,1.3792986828152174,0.006896493414076087,0.0031583755437775045,5.6910502249704786e-05,0.043111631629573495,0.033113673173969606,0.25000001867002963,1.5000000373400582,0.0031583755437775045
M2,2020-07,CLARABEL_SOLVED,998,1.828247864403769,1.4923596365900218,0.0074617981829501094,0.004269160709894003,4.1114692586450626e-05,0.04537009207725898,0.03368024787700131,0.2500000276425864,1.5000000552851727,0.004269160709894003
M2,2020-08,CLARABEL_SOLVED,997,1.787266463184982,1.7579247921983967,0.008789623960991984,0.002317926665846782,3.280972202030531e-05,0.14215637943013096,0.1310816385253125,0.2500000080402353,1.5000000160804698,0.002317926665846782
M2,2020-09,CLARABEL_SOLVED,997,2.0169282307968017,1.9949103358618867,0.009974551679309433,0.000119073008702155,0.00035314925312839734,-0.06449791794156158,-0.07423839337644476,0.25000001374053654,1.5000000274810708,0.000119073008702155
M2,2020-10,CLARABEL_SOLVED,995,1.9543038806986035,2.2136709037808115,0.011068354518904058,0.001560029105961549,1.7893658728221018e-05,-0.053834825123894495,-0.06644531509003189,0.25000000951340484,1.500000019026809,0.001560029105961549
